"기준_년분기_코드","자치구_코드","자치구_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20212","11320","도봉구","LL","다이나믹","94","47","95","49"
"20212","11305","강북구","LL","다이나믹","92","46","95","49"
"20212","11290","성북구","LH","상권확장","94","51","95","49"
"20212","11260","중랑구","LL","다이나믹","93","46","95","49"
"20212","11230","동대문구","HH","정체","106","50","95","49"
"20212","11215","광진구","LL","다이나믹","91","49","95","49"
"20212","11200","성동구","LH","상권확장","93","51","95","49"
"20212","11170","용산구","HH","정체","102","54","95","49"
"20212","11140","중구","HH","정체","110","58","95","49"
"20212","11110","종로구","HH","정체","117","58","95","49"
"20211","11740","강동구","LL","다이나믹","91","47","94","49"
"20211","11710","송파구","LL","다이나믹","94","47","94","49"
"20211","11680","강남구","LL","다이나믹","87","46","94","49"
"20211","11650","서초구","HH","정체","100","50","94","49"
"20211","11620","관악구","LL","다이나믹","87","47","94","49"
"20211","11590","동작구","HH","정체","101","51","94","49"
"20211","11560","영등포구","HH","정체","98","49","94","49"
"20211","11545","금천구","LL","다이나믹","93","48","94","49"
"20211","11530","구로구","HL","상권축소","98","48","94","49"
"20211","11500","강서구","LL","다이나믹","80","47","94","49"
"20211","11470","양천구","LL","다이나믹","92","47","94","49"
"20211","11440","마포구","LL","다이나믹","80","46","94","49"
"20211","11410","서대문구","HH","정체","95","50","94","49"
"20211","11380","은평구","LL","다이나믹","90","48","94","49"
"20211","11350","노원구","LL","다이나믹","88","47","94","49"
"20211","11320","도봉구","LL","다이나믹","93","47","94","49"
"20211","11305","강북구","LL","다이나믹","92","46","94","49"
"20211","11290","성북구","LH","상권확장","94","50","94","49"
"20211","11260","중랑구","LL","다이나믹","92","46","94","49"
"20211","11230","동대문구","HH","정체","105","50","94","49"
"20211","11215","광진구","LL","다이나믹","90","48","94","49"
"20211","11200","성동구","LH","상권확장","92","50","94","49"
"20211","11170","용산구","HH","정체","100","53","94","49"
"20211","11140","중구","HH","정체","109","58","94","49"
"20211","11110","종로구","HH","정체","116","58","94","49"
